iter	Passed	Remaining
861	11929	403262
862	11941	403174
863	11962	403389
864	11977	403425
865	11989	403358
866	12000	403239
867	12009	403069
868	12022	403031
869	12036	403031
870	12051	403047
871	12067	403110
872	12085	403240
873	12111	403602
874	12122	403501
875	12137	403518
876	12158	403738
877	12172	403755
878	12184	403655
879	12196	403598
880	12210	403588
881	12231	403799
882	12249	403932
883	12264	403942
884	12279	403982
885	12293	403963
886	12308	403975
887	12319	403877
888	12330	403782
889	12340	403626
890	12355	403641
891	12370	403661
892	12381	403578
893	12392	403459
894	12402	403309
895	12417	403359
896	12432	403376
897	12450	403491
898	12462	403427
899	12480	403536
900	12498	403652
901	12508	403504
902	12516	403326
903	12526	403191
904	12544	403292
905	12557	403255
906	12569	403196
907	12583	403178
908	12602	403327
909	12616	403320
910	12633	403409
911	12645	403313
912	12666	403545
913	12683	403618
914	12700	403721
915	12714	403707
916	12736	403935
917	12751	403961
918	12764	403910
919	12777	403888
920	12792	403901
921	12806	403876
922	12819	403864
923	12837	403962
924	12850	403918
925	12862	403864
926	12872	403703
927	12886	403703
928	12899	403646
929	12910	403560
930	12921	403464
931	12932	403349
932	12941	403197
933	12954	403145
934	12967	403102
935	12977	402962
936	12994	403062
937	13009	403060
938	13020	402973
939	13031	402859
940	13046	402880
941	13060	402882
942	13073	402846
943	13089	402890
944	13100	402795
945	13109	402621
946	13120	402513
947	13132	402461
948	13145	402418
949	13157	402328
950	13170	402316
951	13181	402209
952	13201	402387
953	13220	402523
954	13232	402441
955	13245	402409
956	13258	402354
957	13276	402468
958	13288	402397
959	13301	402359
960	13311	402230
961	13321	402106
962	13332	402011
963	13342	401893
964	13354	401818
965	13367	401770
966	13378	401686
967	13389	401584
968	13407	401685
969	13422	401713
970	13437	401719
971	13450	401674
972	13464	401666
973	13477	401637
974	13494	401726
975	13507	401675
976	13518	401583
977	13532	401560
978	13542	401440
979	13557	401466
980	13571	401460
981	13584	401431
982	13595	401313
983	13605	401210
984	13620	401204
985	13635	401238
986	13654	401377
987	13672	401476
988	13692	401638
989	13704	401597
990	13718	401588
991	13733	401597
992	13745	401518
993	13761	401562
994	13773	401514
995	13787	401501
996	13800	401462
997	13811	401371
998	13824	401321
999	13837	401300
1000	13853	401322
1001	13862	401175
1002	13873	401086
1003	13883	400974
1004	13900	401032
1005	13913	400990
1006	13927	400992
1007	13939	400932
1008	13954	400933
1009	13970	400981
1010	13980	400877
1011	13994	400857
1012	14006	400792
1013	14020	400798
1014	14031	400696
1015	14041	400571
1016	14059	400674
1017	14072	400644
1018	14094	400868
1019	14110	400898
1020	14126	400963
1021	14139	400923
1022	14154	400940
1023	14165	400832
1024	14175	400724
1025	14194	400843
1026	14207	400809
1027	14221	400801
1028	14234	400761
1029	14250	400816
1030	14268	400910
1031	14279	400822
1032	14292	400791
1033	14303	400689
1034	14312	400544
1035	14321	400400
1036	14333	400319
1037	14348	400340
1038	14358	400231
1039	14372	400210
1040	14383	400117
1041	14397	400106
1042	14407	399992
1043	14418	399913
1044	14429	399825
1045	14443	399793
1046	14471	400188
1047	14485	400181
1048	14497	400120
1049	14516	400253
1050	14529	400194
1051	14539	400086
1052	14548	399936
1053	14565	400013
1054	14575	399881
1055	14587	399829
1056	14599	399773
1057	14611	399710
1058	14627	399747
1059	14640	399723
1060	14651	399633
1061	14663	399555
1062	14673	399437
1063	14683	399328
1064	14694	399245
1065	14710	399272
1066	14723	399247
1067	14742	399371
1068	14753	399278
1069	14772	399396
1070	14784	399359
1071	14797	399309
1072	14809	399248
1073	14822	399224
1074	14839	399294
1075	14854	399315
1076	14869	399328
1077	14885	399356
1078	14901	399402
1079	14918	399472
1080	14935	399562
1081	14945	399451
1082	14955	399329
1083	14967	399255
1084	14978	399165
1085	14989	399089
1086	15003	399087
1087	15018	399101
1088	15037	399209
1089	15047	399113
1090	15058	399027
1091	15075	399080
1092	15088	399049
1093	15101	399025
1094	15113	398960
1095	15130	399030
1096	15147	399097
1097	15160	399070
1098	15175	399068
1099	15187	399009
